date,actual,predicted,factor_return,intercept,residual_alpha
2019-01-01,-1.9507,-0.9835116812999578,-1.2802493224972769,0.29673764119731905,-0.9671883187000423
2019-02-01,1.2151,1.7182937920147425,1.4470943202536872,0.2711994717610553,-0.5031937920147425
2019-03-01,-0.4008,-0.4069944897812931,-0.6976552363257714,0.2906607465444783,0.006194489781293111
2019-04-01,1.8376,1.8804517293148901,1.5961707895117248,0.2842809398031654,-0.04285172931489023
2019-05-01,0.6012,0.8376500161770087,0.6167721589917662,0.22087785718524255,-0.23645001617700878
2019-06-01,-3.1276,-2.566488466643892,-2.7449255530955474,0.17843708645165546,-0.5611115333561081
2019-07-01,-3.9908,-3.2107050005288538,-3.4018752397724805,0.1911702392436267,-0.7800949994711464
2019-08-01,1.5053,1.3925377536904788,1.1933863014855044,0.19915145220497432,0.11276224630952125
2019-09-01,1.4693,1.6258611940478511,1.3863051858510396,0.23955600819681144,-0.15656119404785107
2019-10-01,-2.8814,-1.7060241359626362,-1.890511921055903,0.18448778509326663,-1.175375864037364
2019-11-01,1.2597,1.6103610311496759,1.4660447918825537,0.14431623926712228,-0.35066103114967584
2019-12-01,-0.8479,-2.1979265768939595,-2.3870890806780105,0.18916250378405097,1.3500265768939594
2020-01-01,-1.6364,-0.8131254688299587,-0.882694631772677,0.06956916294271831,-0.8232745311700413
2020-02-01,0.0998,-0.04454549371188592,-0.12461752204439751,0.08007202833251159,0.14434549371188593
2020-03-01,4.8365,4.74367257028146,4.676834819294783,0.06683775098667755,0.09282742971853963
2020-04-01,-1.8886,-1.6893639040457487,-1.7421438106141969,0.05277990656844833,-0.1992360959542514
2020-05-01,1.8438,1.1540245377020248,1.1127510612576275,0.04127347644439738,0.6897754622979753
2020-06-01,-0.3133,-0.7190018803801899,-0.7496827519617667,0.03068087158157684,0.40570188038018984
2020-07-01,4.0338,3.7881969892448346,3.7623899515039843,0.025807037740850358,0.24560301075516566
2020-08-01,-1.9743,-2.1593912221264695,-2.1916762636783673,0.0322850415518979,0.18509122212646956
2020-09-01,-0.7046,-1.191300700153884,-1.2373362971366695,0.04603559698278553,0.486700700153884
2020-10-01,-0.9439,-1.2250995248875254,-1.2747559180745431,0.049656393187017756,0.2811995248875254
2020-11-01,-2.9824,-3.342678464947417,-3.391305746432191,0.048627281484774326,0.36027846494741667
2020-12-01,-2.4591,-1.8701686503916644,-1.8693133971715201,-0.0008552532201441393,-0.5889313496083355
2021-01-01,-1.0316,-1.2660616253591461,-1.3185334396054944,0.052471814246348336,0.23446162535914605
2021-02-01,0.4818,0.44873140238286013,0.40148036003171556,0.04725104235114455,0.03306859761713987
2021-03-01,-0.3844,0.7769883847573607,0.7679628110180149,0.009025573739345788,-1.1613883847573607
2021-04-01,3.4842,4.085903064465986,4.084378654376211,0.0015244100897750662,-0.6017030644659864
2021-05-01,2.9648,2.634985348897217,2.6667896098217483,-0.03180426092453165,0.3298146511027831
2021-06-01,-1.4547,-1.689147209857782,-1.7105027529271521,0.02135554306937018,0.2344472098577819
2021-07-01,3.3067,3.151486202554522,3.1596873435943267,-0.008201141039805071,0.15521379744547836
2021-08-01,1.1424,1.1144423280669267,1.1217028619584402,-0.007260533891513571,0.027957671933073414
2021-09-01,2.3203,3.304514473073025,3.336726470324508,-0.03221199725148276,-0.9842144730730249
2021-10-01,-0.3583,-1.4965164178035426,-1.4298967862825138,-0.06661963152102882,1.1382164178035425
2021-11-01,0.4892,0.6319929647032875,0.7005469179057189,-0.06855395320243138,-0.14279296470328745
2021-12-01,-0.1922,-0.8981698731378362,-0.856142398687548,-0.04202747445028818,0.7059698731378362
2022-01-01,0.6866,0.6108164661529049,0.6317328817672923,-0.020916415614387424,0.07578353384709513
2022-02-01,0.1142,0.34946668117372,0.3708112969844632,-0.021344615810743206,-0.23526668117372
2022-03-01,1.7952,1.5268040409625099,1.5550880420126656,-0.028284001050155716,0.26839595903749003
2022-04-01,1.7387,1.3939329348322493,1.434411369702647,-0.040478434870397706,0.3447670651677506
2022-05-01,0.0049,0.6034108658095542,0.6714893530760901,-0.06807848726653595,-0.5985108658095541
2022-06-01,-2.2325,-2.745125483847198,-2.7258951750704727,-0.019230308776725186,0.5126254838471982
2022-07-01,0.0991,-0.010015494510787051,-0.07221596702136569,0.06220047251057864,0.10911549451078704
2022-08-01,-1.1333,-1.6197335668217516,-1.6844731986069854,0.06473963178523373,0.48643356682175165
2022-09-01,3.5306,1.65207840192555,1.4713936607184783,0.18068474120707168,1.87852159807445
2022-10-01,-1.6623,-1.3679326774504057,-1.547365986021834,0.17943330857142825,-0.2943673225495944
2022-11-01,0.6317,0.07134019670850289,-0.13457375751643563,0.20591395422493852,0.5603598032914971
2022-12-01,3.4171,1.8394569365269833,1.6229276933859373,0.21652924314104596,1.5776430634730167
2023-01-01,0.1351,0.6261679485285253,0.41512455196444875,0.21104339656407656,-0.4910679485285253
2023-02-01,-1.8352,-1.1053792466061962,-1.281032971287003,0.17565372468080676,-0.7298207533938037
2023-03-01,-1.6601,-1.5199389976348892,-1.6849377774142467,0.1649987797793575,-0.14016100236511075
2023-04-01,-0.1996,0.6799941615056813,0.5510112861355334,0.1289828753701478,-0.8795941615056813
2023-05-01,1.6441,1.7153139104007027,1.5858946379519065,0.1294192724487962,-0.0712139104007028
2023-06-01,1.676,0.710535590827746,0.5859356869768513,0.1245999038508947,0.965464409172254
2023-07-01,1.163,1.3350705107467151,1.2636343052696297,0.07143620547708537,-0.1720705107467151
2023-08-01,-0.2242,0.9995732911975608,0.9623899696121969,0.037183321585363915,-1.2237732911975607
2023-09-01,0.6135,0.7725745197802513,0.7429097214303363,0.029664798349914978,-0.15907451978025122
2023-10-01,-0.2089,-1.0134658230333027,-1.0604581292356172,0.04699230620231454,0.8045658230333027
2023-11-01,-0.1051,-0.8035661260864669,-0.8833772039776051,0.07981107789113817,0.698466126086467
2023-12-01,0.6801,0.26533093703327326,0.11589070883287912,0.14944022820039415,0.4147690629667268
